번호,상호,도로명주소,지번주소
50,복권천국,서울 강서구 방화대로33길 66,서울 강서구 방화동 249-110번지
51,복권마을,서울 강서구 화곡로 321,서울 강서구 화곡동 1105
52,아그네스,서울 강서구 방화동로 43,서울 강서구 방화동 614-18
53,복권나라,서울 중랑구 봉화산로 30,서울 중랑구 중화동 312-1번지
54,은혜,서울 중랑구 면목로91길 46,서울 중랑구 상봉동 112-51번지
55,복권명당,서울 중랑구 면목로 362,서울 중랑구 면목동 413-3번지
56,복권방,서울 마포구 백범로 127,서울 마포구 염리동 154-10번지
57,복권천국방,서울 마포구 동교로 92,서울 마포구 서교동 480-1번지
58,복권백화점,서울 마포구 월드컵로 157,서울 마포구 망원동 474-2번지
59,한삼인 홍제역점,서울 서대문구 통일로 457,서울 서대문구 홍제동 330-60번지
60,복권마트,서울 서대문구 세검정로 31,서울 서대문구 홍제동 265-5번지
61,행운복권방,서울 서대문구 신촌로 235-1 ,서울 서대문구 북아현동 220-43
62,노다지복권방,서울 서대문구 충정로 73,서울 서대문구 충정로2가 124
63,복권세계,서울 동작구 신대방길 8,서울 동작구 신대방동 618-26번지
64,복권명당,서울 동작구 국사봉길 26 ,서울 동작구 신대방동 338-19
65,뉴현대칼라,서울 동작구 상도로 143 송암빌딩,서울 동작구 상도동 191-1
66,복권나라,서울 동작구 성대로 42 소망교회,서울 동작구 상도동 256-42
67,복권방,서울 강동구 천호대로176길 10-3,서울 강동구 성내동 245-32번지
68,단골집편의점,서울 강동구 구천면로 194 ,서울 강동구 천호동 417-7
69,포인트,서울 강동구 올림픽로 677 ,서울 강동구 천호동 354-5
70,삼정그린환경,서울 강동구 양재대로 1355,서울 강동구 성내3동 428-5번지
71,복드림복권방,서울 강동구 상암로 99,서울 강동구 암사1동 488-34번지
72,하늘담 복권,서울 금천구 시흥대로 97 시흥유통상가,서울 금천구 시흥동 984
73,복권방,서울 금천구 시흥대로 90 정송빌딩,서울 금천구 시흥동 954-7
74,행운으뜸,서울 관악구 신림로17길 45,서울 관악구 신림동 1537-14
75,대풍,서울 관악구 조원로 116,서울 관악구 신림동 513-1
76,로또담배,서울 관악구 난곡로 82 ,서울 관악구 신림동 667-36
77,복권나라,서울 관악구 남부순환로 1739-9 ,서울 관악구 봉천동 926-25
78,천하명당,서울 관악구 난우길 18,서울 관악구 신림동 608-34
79,대박복권방,서울 금천구 독산로64길 18 ,서울 금천구 독산동 378-235
80,천하명당복권방독산점,서울 금천구 독산로85길 16 ,서울 금천구 독산동 989-16
81,복권나라,서울 관악구 은천로 40-1 ,서울 관악구 봉천동 941-18
82,주택복권사랑방,서울 관악구 난곡로 363-1 ,서울 관악구 신림동 518-11
83,대박복권방,서울 성북구 돌곶이로 60,서울 성북구 석관동 250-10번지
84,복권명당,서울 광진구 영화사로 59,서울 광진구 중곡동 107-43
85,복권방,서울 광진구 자양로18길 34,서울 광진구 구의1동 246-70번지
86,천하명당복권방,서울 광진구 능동로 413,서울 광진구 중곡3동 167-3번지
87,대원복권방,서울 광진구 답십리로 382,서울 광진구 중곡동 561-2번지
88,행운의집,서울 광진구 능동로19길 7 ,서울 광진구 화양동 111-114
89,천하명당,서울 송파구 백제고분로40길 31,서울 송파구 석촌동 294-5번지
90,럭키복권샵,서울 송파구 성내천로 218,서울 송파구 마천동 77-9번지
91,명지복권방,서울 송파구 거마로 55,서울 송파구 거여1동 133-82번지
92,천하명당복권방,서울 송파구 백제고분로41길 7,서울 송파구 송파1동 18-18번지
93,광림마트,서울 강남구 도곡로 213 마고빌딩,서울 강남구 역삼동 788-35
94,강남상회,서울 강남구 봉은사로 179 H타워,서울 강남구 논현동 192-19
95,달랑슈퍼,서울 강남구 삼성로82길 22 ,서울 강남구 대치동 955-1
96,다온 편의점,서울 강북구 오현로 190 ,서울 강북구 번동 306-11
97,보경식품,서울 강북구 도봉로 211,서울 강북구 미아동 207-2
98,약수마트(구 동호슈퍼),서울 중구 동호로 163,서울 중구 신당동 372-31번지
99,하나더마트,서울 중구 퇴계로90길 22,서울 중구 신당동 152-7번지
100,하임마트,서울 중구 퇴계로 439-4,서울 중구 황학동 714번지
101,을지상회,서울 중구 장충단로13길 43,서울 중구 을지로6가 18-188번지
102,로또복권방,서울 중구 마른내로 21,서울 중구 저동2가 17-1번지
103,남산골,서울 중구 퇴계로 222-1,서울 중구 필동2가 37-11번지
104,한밭식품,서울 중구 창경궁로 53-1 ,서울 중구 을지로4가 85-1
105,자현당,서울 종로구 북촌로 10,서울 종로구 재동 84-16
106,해피복권방,서울 종로구 자하문로 14,서울 종로구 통의동 59
107,비원복권,서울 종로구 돈화문로 66,서울 종로구 와룡동 68
108,emart24 포이사거리점,서울 강남구 개포로 202 석인빌딩,서울 강남구 개포동 1238
109,만물,서울 강남구 테헤란로37길 42 ,서울 강남구 역삼동 674
110,파랑새식품,서울 강남구 논현로151길 23 ,서울 강남구 신사동 563-1
111,광림마트,서울 강남구 도산대로26길 8 ,서울 강남구 논현동 7-10
112,진흥슈퍼,서울 강남구 논현로150길 31 논현동빌딩,서울 강남구 논현동 61-19
113,현대슈퍼,서울 강남구 개포로 508,서울 강남구 개포동 186-15
114,형제식품,서울 강남구 학동로38길 11 ,서울 강남구 논현동 211
115,경남마트,서울 구로구 고척로52길 21,서울 구로구 고척2동 306번지
116,천하명당,서울 구로구 오류로 60 성진빌딩,서울 구로구 오류동 170-11
117,과자종합상사,서울 구로구 경인로33길 82,서울 구로구 고척2동 269-5번지
118,24시미니슈퍼,서울 구로구 도림로 94,서울 구로구 구로3동 147-6번지
119,제일복권,서울 동대문구 회기로 194,서울 동대문구 휘경동 319-1번지
120,J수퍼,서울 동대문구 왕산로 211 ,서울 동대문구 청량리동 258
121,복권천국,서울 동대문구 전농로2나길 15,서울 동대문구 답십리동 488-60
122,한성식품,서울 중구 수표로 26,서울 중구 저동2가 48-7번지
123,무교식품,서울 중구 다동길 43 한외빌딩,서울 중구 다동 70
124,럭키복권방,서울 노원구 노원로 428,서울 노원구 상계동 1282번지
125,평강슈퍼,서울 노원구 노해로75길 14-2,서울 노원구 상계동 704번지
126,굿데이,서울 노원구 화랑로 421,서울 노원구 공릉동 683-14
127,행당상회,서울 성동구 고산자로 290-3,서울 성동구 행당1동 191-3번지
128,대일슈퍼,서울 성동구 고산자로 331,서울 성동구 마장동 568-1
129,무지개슈퍼,서울 영등포구 영등포로 379-1,서울 영등포구 신길동 97-82
130,영일식품,서울 영등포구 당산로32길 10 ,서울 영등포구 당산동3가 228-1
131,신세계슈퍼,서울 영등포구 대림로 191,서울 영등포구 대림동 739-1번지
132,대창청과슈퍼,서울 영등포구 신길로 203 ,서울 영등포구 신길동 221-39
133,G마트,서울 영등포구 디지털로 387,서울 영등포구 대림동 862-6번지
134,우선식품,서울 영등포구 도신로 231-2,서울 영등포구 신길동 163-5번지
135,행복,서울 서초구 강남대로30길 63 초석빌딩,서울 서초구 양재동 7-43
136,평화슈퍼,서울 은평구 연서로 198-1,서울 은평구 대조동 219-2번지
137,갈현토큰,서울 은평구 통일로 905 ,서울 은평구 갈현동 392-5
138,수색마트 복권방,서울 은평구 수색로 256 ,서울 은평구 수색동 106-1
139,월드24시,서울 은평구 통일로 855-15,서울 은평구 갈현1동 398-1번지
140,영훈슈퍼마켓,서울 도봉구 덕릉로 222,서울 도봉구 창3동 557-5번지
141,한아름유통,서울 도봉구 노해로41길 38-17,서울 도봉구 쌍문동 281-52번지
142,국민슈퍼,서울 도봉구 도봉로 588,서울 도봉구 창5동 731-55번지
143,돼지슈퍼,서울 도봉구 삼양로 628,서울 도봉구 쌍문동 512-23번지
144,오성할인마트,서울 도봉구 도봉로 505,서울 도봉구 쌍문동 88-127번지
145,럭키슈퍼,서울 용산구 후암로 52 ,서울 용산구 후암동 27-14
146,델타슈퍼,서울 용산구 한강대로38가길 11,서울 용산구 한강로2가 153-5
147,복권세상,서울 양천구 곰달래로5길 26,서울 양천구 신월동 110-18번지
148,복권판매소,서울 양천구 중앙로 251 ,서울 양천구 신정동 1182-2
149,신정복권,서울 양천구 신목로 70-1 신통빌딩,서울 양천구 신정동 89-29
150,뉴신명,서울 양천구 목동중앙서로7가길 39,서울 양천구 목동 792-1
151,호야식품,서울 양천구 중앙로 234,서울 양천구 신정동 1052-1번지
152,농심가슈퍼마트,서울 양천구 목동중앙본로 54 ,서울 양천구 목동 234-4
153,삼육구마트,서울 양천구 목동중앙서로 15-1,서울 양천구 목동 790-21
154,또와식품,서울 강서구 양천로 694,서울 강서구 염창동 264-8번지
155,현대마트,서울 강서구 공항대로 649,서울 강서구 염창동 283-12번지
156,강서스포츠,서울 강서구 곰달래로 156-1,서울 강서구 화곡동 896-1
157,화곡본마트,서울 강서구 까치산로4길 3,서울 강서구 화곡본동 98-60번지
158,씨유 개화산역점,서울 강서구 양천로 19,서울 강서구 방화동 498-4
159,새로나슈퍼,서울 강서구 강서로5길 16,서울 강서구 화곡동 904-27
160,진영슈퍼,서울 강서구 등촌로 79,서울 강서구 등촌동 565-6
161,강서슈퍼,서울 강서구 공항대로59길 29,서울 강서구 등촌동 646-32번지
162,금강식품,서울 강서구 강서로 207 영신빌딩,서울 강서구 화곡동 1024-10
163,바이더웨이,서울 동대문구 회기로25길 133,서울 동대문구 이문2동 283-12번지
164,하나로슈퍼,서울 동대문구 고산자로 484,서울 동대문구 제기동 844번지
165,엔마트,서울 동대문구 장한로31길 10,서울 동대문구 장안2동 304-5번지
166,그린슈퍼,서울 동대문구 왕산로 138 ,서울 동대문구 용두동 24-4
167,일등복권방,서울 동대문구 사가정로 125,서울 동대문구 전농동 38-12번지
168,경성식품,서울 동대문구 망우로21길 52,서울 동대문구 휘경1동 192-5번지
169,역전 복권방,서울 동대문구 휘경로 30,서울 동대문구 휘경동 163-18
170,신영슈퍼,서울 강남구 광평로51길 27,서울 강남구 수서동 708번지
171,삼성마트,서울 강남구 선릉로 636,서울 강남구 삼성동 34-3
172,그린수퍼,서울 중랑구 동일로130길 42 ,서울 중랑구 중화동 291-40
173,신안할인마트,서울 중랑구 공릉로2나길 44,서울 중랑구 묵동 382번지
174,묵동식품,서울 중랑구 동일로 919,서울 중랑구 묵동 238-11
175,서울복권방,서울 중랑구 동일로 809-1,서울 중랑구 중화동 305-17번지
176,대박드림복권,서울 중랑구 망우로 203,서울 중랑구 중화동 208-33번지
177,부안식품,서울 중랑구 용마산로 409,서울 중랑구 면목동 20-51
178,우정상회,서울 중랑구 상봉로 110 ,서울 중랑구 망우동 506-8
179,현대슈퍼,서울 중랑구 봉우재로 203-1,서울 중랑구 망우본동 514-80번지
180,대구상회,서울 마포구 토정로31길 51,서울 마포구 용강동 6-1번지
181,새한양슈퍼,서울 마포구 월드컵북로 262,서울 마포구 성산동 446
182,명신사,서울 마포구 월드컵로 97,서울 마포구 망원동 57-34번지
183,정원쇼핑,서울 서대문구 홍은중앙로 99,서울 서대문구 홍은동 9-333번지
184,홍제삼거리마트,서울 서대문구 통일로 407,서울 서대문구 홍제동 147-2번지
185,민영슈퍼,서울 서대문구 응암로 104,서울 서대문구 북가좌동 292-11번지
186,강원슈퍼,서울 서대문구 모래내로 355,서울 서대문구 홍은동 277-18번지
187,제일슈퍼,서울 서대문구 응암로 79 문화빌딩,서울 서대문구 북가좌동 309-3
188,복권샵,서울 서대문구 거북골로 39,서울 서대문구 남가좌동 343-1
189,코사마트,서울 동작구 상도로 10-7 ,서울 동작구 대방동 401-5
190,개미식품,서울 동작구 노량진로 110 ,서울 동작구 노량진동 41-5
191,삼원미니슈퍼,서울 동작구 상도로 93 ,서울 동작구 상도동 328-7
192,상도편의점,서울 동작구 상도로 276 ,서울 동작구 상도1동 745-1
193,신영상회,서울 동작구 장승배기로 143 ,서울 동작구 노량진동 235-5
194,한냉매점,서울 동작구 노들로 674 노량진수산물도매시장,서울 동작구 노량진동 13-6
195,인동상회,서울 노원구 한글비석로 396,서울 노원구 상계5동 173-1번지
196,동아슈퍼,서울 노원구 노원로 522,서울 노원구 상계10동 673번지
197,우성슈퍼,서울 강동구 구천면로 371,서울 강동구 암사동 421-6번지
198,삼익마트,서울 강동구 상암로 211,서울 강동구 명일동 341-5번지
199,롯데마트,서울 강동구 상일로 17,서울 강동구 상일동 342번지
200,동원마트,서울 강동구 풍성로 209,서울 강동구 성내3동 412-6번지
201,그린슈퍼,서울 강동구 천중로52길 15,서울 강동구 길동 355-1번지
202,시흥식품,서울 금천구 시흥대로63길 13 ,서울 금천구 시흥동 121-10
203,대성미니슈퍼,서울 관악구 남부순환로 1413,서울 관악구 신림동 566-2
204,럭키슈퍼,서울 금천구 시흥대로 143 ,서울 금천구 시흥동 985-12
205,혜성슈퍼,서울 관악구 호암로24길 42 법포,서울 관악구 신림동 1535
206,유창슈퍼,서울 금천구 범안로17길 41 진도3차아파트,서울 금천구 독산동 1136
207,대화식품,서울 금천구 가산로 58,서울 금천구 독산동 151-11
208,여명슈퍼마켓,서울 성북구 장위로15길 4,서울 성북구 장위동 230-188번지
209,행운마트,서울 성북구 종암로 174,서울 성북구 하월곡동 90-121번지
210,행운부동산(IGA),서울 성북구 보국문로 167,서울 성북구 정릉동 780번지
211,데이앤나잇,서울 성북구 종암로 132 종암우림카이저팰리스,서울 성북구 종암동 132
212,일공일사(1014),서울 성북구 성북로 31 ,서울 성북구 성북동1가 116
213,한양슈퍼복권,서울 성북구 지봉로24길 65,서울 성북구 보문동5가 148번지
214,보원상회,서울 성북구 보문로 56,서울 성북구 보문동7가 22-14번지
215,크로바,서울 종로구 종로54길 42 ,서울 종로구 창신동 411-16
216,세븐일레븐 강변테크노마트점,서울 광진구 광나루로56길 85,서울 광진구 구의동 546-4번지
217,현대식품,서울 광진구 아차산로 413,서울 광진구 구의1동 243-22번지
218,성우미니마트,서울 송파구 가락로 167 ,서울 송파구 송파동 122-9
219,럭키슈퍼,서울 송파구 송파대로42길 20,서울 송파구 송파1동 87-20번지
220,명진슈퍼,서울 송파구 새말로 142,서울 송파구 문정동 97-4번지
221,해피데이마트,서울 송파구 동남로6길 14,서울 송파구 문정동 30-17번지
222,우일,서울 송파구 마천로 235,서울 송파구 마천2동 25-2번지
223,혜성슈퍼,서울 송파구 송이로27길 9,서울 송파구 가락2동 132-7번지
224,복권파티,서울 송파구 오금로 516,서울 송파구 거여동 31-10번지
225,동원식품,서울 송파구 오금로40길 40,서울 송파구 가락동 154-18번지
226,피터팬,서울 은평구 은평로 193,서울 은평구 녹번동 206번지
227,쎄븐타임,서울 용산구 백범로47길 6,서울 용산구 효창동 5-220
228,아이비즈마트,서울 용산구 만리재로 148,서울 용산구 서계동 264-3번지
229,해태24시,서울 양천구 곰달래로 11,서울 양천구 신월동 126-35
230,로또행운마트,서울 양천구 남부순환로 327,서울 양천구 신월5동 52-11번지
231,드림복권,서울 동대문구 장한로 147,서울 동대문구 장안동 306-3
232,CU경기대사거리점,서울 서대문구 경기대로 62 ,서울 서대문구 충정로2가 184-7
233,스파,서울 노원구 동일로 1493 상계주공아파트(10단지),서울 노원구 상계동 666-3
234,오렌지스토아,서울 광진구 면목로 105,서울 광진구 중곡동 245-1번지
235,MS마트,서울 광진구 광나루로 546 두성빌딩,서울 광진구 구의동 229-7
236,가로매점,서울 강북구 도봉로 52,서울 강북구 미아동 1364
237,토큰판매점,서울 강북구 도봉로 45,서울 강북구 송천동 60-5번지
238,토큰박스,서울 강북구 도봉로 334,서울 강북구 번1동 446-50번지
239,1등복권방,서울 강북구 삼양로 252,서울 강북구 삼양동 777-3번지
240,센타포인트명동앞복지가판점,서울 중구 남대문로 84,서울 중구 남대문로2가 9-1
241,종합가판제141호,서울 중구 퇴계로 447,서울 중구 황학동 686번지
242,가로판매점117호,서울 중구 장충단로 257,서울 중구 을지로6가 18-88번지
243,종합가로판매점113호패션TV앞,서울 중구 을지로 264 롯데 FiTin,서울 중구 을지로6가 21-31
244,상호없음,서울 중구 다산로 109-1,서울 중구 신당동 369-2
245,종로3가1호선역2번출구가로판매점82호,서울 종로구 돈화문로 23 ,서울 종로구 종로3가 23-1
246,가야복권방,서울 종로구 통일로 246-10 무악현대아파트,서울 종로구 무악동 82
247,동대문1번출구앞,서울 종로구 종로 301,서울 종로구 창신동 551
248,상호없음,서울 종로구 새문안로 103-1,서울 종로구 신문로1가 10-1번지
249,SK텔레콤종로지점앞가판대,서울 종로구 우정국로 6 SK텔레콤,서울 종로구 관철동 290
250,신사우리가판,서울 강남구 강남대로 620,서울 강남구 신사동 502-11
251,버스표판매소,서울 강남구 압구정로  151-2,서울 강남구 압구정동 394
252,선릉가판점,서울 강남구 선릉로 519 삼능빌딩,서울 강남구 역삼동 696-40
253,교통카드 충전소,서울 강남구 논현로 837 원방빌딩,서울 강남구 신사동 584-3
254,가로판매대(구)-3,서울 강남구 압구정로 201 현대아파트,서울 강남구 압구정동 458
255,행복편의점,서울 구로구 구로중앙로 14,서울 구로구 구로동 142-65번지
256,버스토큰판매소,서울 구로구 시흥대로 577,서울 구로구 구로동 1123-1
257,교통카드판매대,서울 구로구 경인로 661,서울 구로구 신도림동 337번지
258,가판점,서울 구로구 경인로3길 지하 64,서울 구로구 온수동 119번지
259,종합가판점,서울 구로구 가마산로 245,서울 구로구 구로동 435번지
260,버스토큰판매소,서울 구로구 경인로 323,서울 구로구 개봉1동 157-13번지
261,명당복권,서울 동대문구 왕산로 112-1,서울 동대문구 용두동 711-4번지
262,종합가판점,서울 동대문구 왕산로40길 6,서울 동대문구 전농동 620-26
263,상호없음,서울 중구 세종대로 90-1,서울 중구 태평로2가 113-1
264,가로판매점,서울 중구 서소문로 109,서울 중구 서소문동 53-6번지
265,가판100호,서울 중구 을지로 113-4,서울 중구 을지로3가 335-1
266,남대문회현역가판15호,서울 중구 퇴계로 45,서울 중구 남창동 47-12
267,신가로판매점,서울 중구 세종대로 93,서울 중구 태평로2가 360-1번지
268,가로판매대제152호(신),서울 중구 남대문로 114,서울 중구 남대문로1가 22-6번지
269,하나은행별관앞가판43호,서울 중구 을지로 55,서울 중구 을지로2가 9-10번지
270,가로가판대제57호(구),서울 중구 세종대로14길 6-2,서울 중구 태평로2가 69-1번지
271,중구가판12호,서울 중구 한강대로 416,서울 중구 남대문로5가 541번지
272,가로판매대제18호,서울 중구 소공로 51 우리은행본점,서울 중구 회현동1가 203
273,중구-가로가판대-37,서울 중구 남대문로 20-2,서울 중구 남대문로3가 30-6번지
274,가로판매대제13호,서울 중구 퇴계로 36,서울 중구 남창동 169-2번지
275,가판14호,서울 중구 퇴계로 37,서울 중구 남창동 61-4번지
276,신문가판대,서울 중구 세종대로 5-1 ,서울 중구 남대문로5가 63-13
277,가판점,서울 중구 퇴계로 123,서울 중구 충무로2가 65-7번지
278,가로대가판점,서울 은평구 통일로 741,서울 은평구 대조동 6-5번지
279,황금대박점,서울 노원구 공릉로 328,서울 노원구 하계동 180-11번지
280,가판점,서울 노원구 동일로  1231-2,서울 노원구 중계동 503-3
281,신문판매대,서울 노원구 화랑로 455-2,서울 노원구 공릉동 629-2
282,가판대,서울 도봉구 마들로 859-19,서울 도봉구 도봉동 30-1
283,운수대통가판점,서울 성동구 왕십리로 327 ,서울 성동구 하왕십리동 966-14
284,KB행당동지점옆가판,서울 성동구 고산자로 198,서울 성동구 행당1동 320-22번지
285,가로판매1-4-28,서울 성동구 고산자로 348,서울 성동구 마장동 522-6
286,만복당,서울 성동구 행당로 1 ,서울 성동구 금호동1가 125-1
287,토마토,서울 성동구 마조로7길 15-1,서울 성동구 행당동 3-3번지
288,당산로또명당점,서울 영등포구 양평로 52,서울 영등포구 당산동6가 337-19번지
289,교통카드판매대,서울 영등포구 여의나루로 71 동화빌딩,서울 영등포구 여의도동 25-3
290,드림로또,서울 서초구 신반포로 194 강남고속버스터미널,서울 서초구 반포동 19-4
291,로또와 토토,서울 서초구 방배로13길 18 방배아크로타워,서울 서초구 방배동 923-6
292,승지GALLANT,서울 서초구 신반포로 194 강남고속버스터미널,서울 서초구 반포동 19-4
293,종합가판점,서울 은평구 응암로 247,서울 은평구 응암3동 124-17번지
294,가판,서울 은평구 통일로 750,서울 은평구 불광1동 267-1번지
295,가판점,서울 도봉구 도봉로 767,서울 도봉구 도봉동 616-19번지
296,행운가판점,서울 용산구 한강대로 80 ,서울 용산구 한강로2가 222-5
297,가로판매점,서울 용산구 한강대로 114,서울 용산구 한강로2가 424-2
298,가로판매점,서울 용산구 원효로 179,서울 용산구 원효로2가 72번지
299,신문가판점,서울 용산구 한강대로 277-3,서울 용산구 갈월동 90-3
300,이촌가판점,서울 용산구 이촌로71길 10,서울 용산구 이촌동 409번지
301,가로판매점,서울 용산구 원효로 166,서울 용산구 원효로2가 94-2번지
302,복권세상,서울 양천구 신월로 187,서울 양천구 신월동 535-4번지
303,까치복권,서울 양천구 화곡로 103 ,서울 양천구 신월동 23-17
304,토큰박스,서울 동대문구 이문로 93 민족통일MJ캠퍼스외대,서울 동대문구 이문동 329-1
305,로또판매점,서울 동대문구 왕산로37길 11,서울 동대문구 청량리동 773
306,버스카드충전소,서울 강남구 테헤란로 625 덕명빌딩,서울 강남구 삼성동 170-9
307,교통카드충전소,서울 강남구 선릉로 309,서울 강남구 역삼동 765-9번지
308,서교동가판점,서울 마포구 양화로 115,서울 마포구 서교동 374-18번지
309,가로매점,서울 마포구 마포대로 61-1,서울 마포구 도화동 559
310,로또복권판매소,서울 마포구 마포대로 44,서울 마포구 도화동 37번지
311,아현역3번출구앞가판점,서울 마포구 마포대로 249 아현산업정보학교,서울 마포구 아현동 267-1
312,가로판매점,서울 서대문구 수색로 32 ,서울 서대문구 남가좌동 293-85
313,가판점,서울 서대문구 신촌로 155,서울 서대문구 대현동 101-25번지
314,대박종합복권가로판매점,서울 서대문구 신촌로 75,서울 서대문구 창천동 72-7번지
315,가로판매점,서울 서대문구 신촌로 103,서울 서대문구 창천동 18-42
316,가로판매점18호,서울 서대문구 신촌역로 16 신촌가이아,서울 서대문구 대현동 27-20
317,토로또가판점,서울 동작구 노량진로 168-2,서울 동작구 노량진동 148-80
318,토큰박스,서울 동작구 흑석로 106-5 ,서울 동작구 흑석동 102-25
319,Q마트,서울 동작구 장승배기로 146 노량진1동우편취급소,서울 동작구 노량진동 236-13
320,가판점,서울 동작구 상도로 246 일강빌딩,서울 동작구 상도동 32-10
321,가판점,서울 강동구 천호대로 1073 힐탑프라자,서울 강동구 천호동 449-49
322,버스표 담배,서울 강동구 올림픽로 811,서울 강동구 암사동 504-22번지
323,행운마트,서울 강동구 구천면로34길 71,서울 강동구 천호동 100-3번지
324,대박가판장,서울 강동구 양재대로 1627,서울 강동구 명일동 312-92
325,가로판매점,서울 강동구 양재대로 1443,서울 강동구 길동 458-5번지
326,돼지복권,서울 강동구 올림픽로 746,서울 강동구 천호동 315
327,가로판매대,서울 강동구 올림픽로 648,서울 강동구 천호동 455-21
328,베네시티앞가판,서울 강동구 올림픽로 664,서울 강동구 천호2동 425-5번지
329,가로판매점,서울 관악구 과천대로 955 ,서울 관악구 남현동 1060-11
330,로또 명당 가판점,서울 금천구 남부순환로 1390 전영수내과의원,서울 금천구 독산동 876-2
331,사당,서울 관악구 과천대로 953 ,서울 관악구 남현동 1061-59
332,가로가판대,서울 관악구 시흥대로 572 한성빌딩,서울 관악구 신림동 1643-6
333,가로판매점,서울 금천구 시흥대로 480,서울 금천구 독산3동 967-19번지
334,예술인마을버스판매소,서울 관악구 남부순환로 2056 태림빌딩,서울 관악구 남현동 1057-22
335,가로판매점,서울 금천구 시흥대로 217 시흥동우체국,서울 금천구 시흥동 993-2
336,88수퍼,서울 금천구 가산로 130 ,서울 금천구 가산동 145-23
337,신림마트,서울 관악구 남부순환로 1588 신림빌딩,서울 관악구 신림동 1639-1
338,74호종합가판,서울 종로구 청계천로 111 ,서울 종로구 관수동 149-2
